00410130        SFileGetFileName                             
00410136        SFileSetIoErrorMode                          
0041013C        SFileOpenFile                                
00410142        SFileGetFileSize                             
00410148        SFileReadFile                                
0041014E        SBmpAllocLoadImage                           
00410154        SBmpLoadImage                                
0041015A        SNetLeagueLogout                             
00410160        SDrawCaptureScreen                           
00410166        STrans442                                    
0041016C        SMemCopy                                     
00410172        SErrSetLastError                             
00410178        SMemZero                                     
0041017E        SNetGetNumPlayers                            
00410184        SNetGetPlayerName                            
0041018A        SNetSetGameMode                              
00410190        SNetLeaveGame                                
00410196        SNetReportGameResult                         
0041019C        SNet144                                      
004101A2        SNetGetGameInfo                              
004101A8        SNetDropPlayer                               
004101AE        SFileLoadFileEx                              
004101B4        SFileUnloadFile                              
004101BA        SBmpDecodeImage                              
004101C0        SFileDdaInitialize                           
004101C6        SVidInitialize                               
004101CC        SFileDdaBeginEx                              
004101D2        SVidDestroy                                  
004101D8        SFileDdaEnd                                  
004101DE        SFileDdaDestroy                              
004101E4        SFileDdaGetPos                               
004101EA        SNetSendMessage                              
004101F0        SNetReceiveMessage                           
004101F6        SErrGetErrorStr                              
004101FC        SNetReceiveTurns                             
00410202        SNetSendTurn                                 
00410208        SNetEnumGames                                
0041020E        SNetGetLeaguePlayerName                      
00410214        SNetGetLeagueName                            
0041021A        SNetInitializeDevice                         
00410220        SNetEnumProviders                            
00410226        SRegSaveString                               
0041022C        SDlgSetBitmapE                               
00410232        SDlgDialogBoxIndirectParam                   
00410238        storm_224                                    
0041023E        SDrawGetFrameWindow                          
00410244        SDrawUpdatePalette                           
0041024A        SNetSelectGame                               
00410250        SRegLoadData                                 
00410256        SRegSaveData                                 
0041025C        SFileGetFileArchive                          
00410262        SFileGetArchiveName                          
00410268        SFileDdaSetVolume                            
0041026E        SNetGetPlayerNames                           
00410274        SNetGetTurnsInTransit                        
0041027A        SRegSaveValue                                
00410280        SNetSendServerChatCommand                    
00410286        SNetSendLeagueCommand                        
0041028C        SBigPowMod                                   
00410292        SBigDel                                      
00410298        SBigToBinaryBuffer                           
0041029E        SStrUpper                                    
004102A4        SMemFill                                     
004102AA        SMemCmp                                      
004102B0        SBigFromBinary                               
004102B6        SBigNew                                      
004102BC        SRegDeleteValue                              
004102C2        SFileLoadFile                                
004102C8        SNetGetPlayerCaps                            
004102CE        SGdiSelectObject                             
004102D4        SDlgDefDialogProc                            
004102DA        SDlgEndDialog                                
004102E0        SGdiExtTextOut                               
004102E6        SGdiSetPitch                                 
004102EC        SGdiDeleteObject                             
004102F2        SDlgSetControlBitmaps                        
004102F8        SBltROP3Clipped                              
004102FE        SGdiImportFont                               
00410304        storm_393                                    
0041030A        SDlgBltToWindowE                             
00410310        STransBlt                                    
00410316        STransDelete                                 
0041031C        STransCreateE                                
00410330        scSpecialChars                               
004103E7        sub_4103E7                                   
00410430        PKLIB__2                                     
00410470        PKLIB__1                                     
004105F0        PKLIB__5                                     
004106F0        PKLIB__6                                     
004108A0        PKLIB__8                                     
00410920        PKLIB__7                                     
004109B0        PKLIB__4                                     
004109F0        PKLIB__0                                     
00410AF0        PKLIB__3                                     
00410B30        PKLIB_                                       
00410CD0        PKLIB__9                                     
00411050        sub_411050                                   
00411390        sub_411390                                   
00411420        sub_411420                                   
00411490        sub_411490                                   
00411510        sub_411510                                   
004115C3        __vsnprintf                                  
00411619        _setvbuf                                     
004116EB        ___unlock_file_4                             
004116F5        _fread                                       
004117DE        __lockread                                   
00411820        ___unlock_file_3                             
0041182A        _fwrite                                      
00411931        __lockwrite                                  
00411973        ___unlock_file_2                             
0041197D        __ftell_lk                                   
00411ADF        __fseek_lk                                   
00411B6E        _fseek                                       
00411BAD        ___unlock_file_1                             
00411BB7        _fgetc                                       
00411BFC        ___unlock_file_0                             
00411C07        ___toupper_mt                                
00411CD0        _toupper                                     
00411CF2        __mbslen                                     
00411D37        __filbuf                                     
00411E18        SErrSuppressErrors                           
00411E1E        STransIntersectDirtyArray                    
00411E24        SDrawManualInitialize                        
00411E2A        STransSetDirtyArrayInfo                      
00411E30        SDrawRealizePalette                          
00411E36        STransInvertMask                             
00411E3C        STransDuplicate                              
00411E42        STransCombineMasks                           
00411E48        SDrawUnlockSurface                           
00411E4E        SDrawLockSurface                             
00411E54        STransBltUsingMask                           
00411E5A        SRgn523                                      
00411E60        SRgn529i                                     
00411E66        SRgn524                                      
00411E6C        SRgn525                                      
00411E72        SCodeCompile                                 
00411E78        SCodeExecute                                 
00411E7E        SCodeDelete                                  
00411E84        SVidGetSize                                  
00411EC0        sub_411EC0                                   
004132B0        sub_4132B0                                   
00413380        sub_413380                                   
00413440        sub_413440                                   
004134A0        _?AUCHUNKNODE@@_0                            
00413550        sub_413550                                   
004135C0        sub_4135C0                                   
00413670        sub_413670                                   
00413710        sub_413710                                   
004137F0        sub_4137F0                                   
00413850        sub_413850                                   
00413870        sub_413870                                   
004138C0        sub_4138C0                                   
00413900        sub_413900                                   
00413A70        sub_413A70                                   
00413AA0        sub_413AA0                                   
00413B30        sub_413B30                                   
00413C00        sub_413C00                                   
00413C50        sub_413C50                                   
00413D10        sub_413D10                                   
00413DB0        sub_413DB0                                   
00413FA0        sub_413FA0                                   
004140A0        sub_4140A0                                   
00414100        sub_414100                                   
00414180        sub_414180                                   
00414230        sub_414230                                   
00414290        sub_414290                                   
00414440        sub_414440                                   
00414560        sub_414560                                   
00414680        sub_414680                                   
004148F0        sub_4148F0                                   
00414A30        sub_414A30                                   
00414C00        sub_414C00                                   
00414C90        sub_414C90                                   
00414D30        sub_414D30                                   
00414DD0        sub_414DD0                                   
00414F10        sub_414F10                                   
00415090        sub_415090                                   
00415140        sub_415140                                   
004152F0        sub_4152F0                                   
00415340        sub_415340                                   
004153B0        sub_4153B0                                   
004155A0        sub_4155A0                                   
00415760        sub_415760                                   
00415910        sub_415910                                   
00415980        sub_415980                                   
00415A90        sub_415A90                                   
00415AF0        sub_415AF0                                   
00415CC0        loadTBL                                      
00415DC0        sub_415DC0                                   
00415F30        sub_415F30                                   
00416000        sub_416000                                   
00416090        VideoTimer                                   
004161C0        sub_4161C0                                   
00416240        sub_416240                                   
00416450        sub_416450                                   
004164D0        sub_4164D0                                   
004165C0        sub_4165C0                                   
00416600        sub_416600                                   
00416650        sub_416650                                   
00416690        sub_416690                                   
00416710        sub_416710                                   
00416790        sub_416790                                   
004167F0        sub_4167F0                                   
00416980        sub_416980                                   
00416D90        sub_416D90                                   
